Speaker,Sentence,Sentiment,Toxicity,Traditional_Fallacy,Transformer_Fallacy,Confidence_Score,Final_Judgement,Agreement
Speaker A,You are the dumbest person alive,NEGATIVE,toxic,Ad Hominem,appeal to emotion,0.5519705414772034,appeal to emotion,Medium (transformer preferred)
Speaker B,"That's an ad hominem attack, not a real argument",NEGATIVE,toxic,Ad Hominem,ad hominem,0.5169509649276733,ad hominem,Medium (transformer preferred)
Speaker A,"Fine, but everyone agrees with me, so I must be right",POSITIVE,toxic,Circular Reasoning,ad populum,0.9847649335861206,ad populum,Medium (transformer preferred)
Speaker B,Popularity doesn't make something true,NEGATIVE,toxic,Circular Reasoning,ad populum,0.8823132514953613,ad populum,Medium (transformer preferred)
Speaker A,Think about the poor children suffering if we don't act,NEGATIVE,toxic,Appeal to Emotion,appeal to emotion,0.9339507222175598,appeal to emotion,Medium (transformer preferred)
Speaker B,You're appealing to emotion instead of giving evidence,POSITIVE,toxic,Red Herring,appeal to emotion,0.8472245335578918,appeal to emotion,Medium (transformer preferred)
Speaker A,So you're saying we should just ignore the problem completely?,NEGATIVE,toxic,Strawman,fallacy of extension,0.6911109685897827,fallacy of extension,Medium (transformer preferred)
Speaker B,"No, that's not what I said at all",NEGATIVE,toxic,Strawman,ad hominem,0.8272808790206909,ad hominem,Medium (transformer preferred)
Speaker A,Either we accept this solution or everything will fail,NEGATIVE,toxic,False Dilemma,false dilemma,0.9718033075332642,false dilemma,Medium (transformer preferred)
Speaker B,"That's a false dilemma, there are other options",NEGATIVE,toxic,False Dilemma,false dilemma,0.5749281048774719,false dilemma,Medium (transformer preferred)
Speaker A,"If we allow this small change, society will collapse",NEGATIVE,toxic,Slippery Slope,faulty generalization,0.8706376552581787,faulty generalization,Medium (transformer preferred)
Speaker B,That's a slippery slope argument,NEGATIVE,toxic,Ad Hominem,fallacy of credibility,0.4303733706474304,fallacy of credibility,Medium (transformer preferred)
Speaker A,All politicians are corrupt anyway,NEGATIVE,toxic,Hasty Generalization,faulty generalization,0.980103075504303,faulty generalization,Medium (transformer preferred)
Speaker B,That's a hasty generalization,NEGATIVE,toxic,False Dilemma,fallacy of credibility,0.4961610734462738,fallacy of credibility,Medium (transformer preferred)
Speaker A,Why are we even talking about this when there are bigger issues?,NEGATIVE,toxic,Red Herring,fallacy of relevance,0.3064728379249573,fallacy of relevance,Medium (transformer preferred)
Speaker B,"That's a red herring, stay on topic",NEGATIVE,toxic,Red Herring,fallacy of relevance,0.8972679376602173,fallacy of relevance,Medium (transformer preferred)
Speaker A,This policy is wrong because it's bad,NEGATIVE,toxic,Appeal to Emotion,circular reasoning,0.9613875150680542,circular reasoning,Medium (transformer preferred)
Speaker B,That's circular reasoning,POSITIVE,toxic,False Dilemma,circular reasoning,0.7805680632591248,circular reasoning,Medium (transformer preferred)
Speaker A,You're too inexperienced to understand this topic,NEGATIVE,toxic,Ad Hominem,ad hominem,0.9826297760009766,ad hominem,Medium (transformer preferred)
Speaker B,Attacking my experience doesn't invalidate my argument,POSITIVE,toxic,Ad Hominem,fallacy of credibility,0.7363215684890747,fallacy of credibility,Medium (transformer preferred)
Speaker A,"If you disagree, you're basically against progress",NEGATIVE,toxic,Appeal to Emotion,fallacy of extension,0.40010493993759155,fallacy of extension,Medium (transformer preferred)
Speaker B,That's another false dilemma,NEGATIVE,toxic,False Dilemma,fallacy of relevance,0.7135854959487915,fallacy of relevance,Medium (transformer preferred)
Speaker A,This is obviously true because everyone knows it,POSITIVE,toxic,Circular Reasoning,ad populum,0.9825197458267212,ad populum,Medium (transformer preferred)
Speaker B,"That's not evidence, just repetition",NEGATIVE,toxic,Strawman,intentional,0.8660710453987122,intentional,Medium (transformer preferred)
Speaker A,You always twist my words,POSITIVE,toxic,False Dilemma,appeal to emotion,0.9240879416465759,appeal to emotion,Medium (transformer preferred)
Speaker B,Point out exactly where instead of making vague claims,POSITIVE,toxic,Strawman,intentional,0.7544044852256775,intentional,Medium (transformer preferred)
Speaker A,This will destroy our future generations,NEGATIVE,toxic,Appeal to Emotion,appeal to emotion,0.8687090277671814,appeal to emotion,Medium (transformer preferred)
Speaker B,"Again, that's emotional exaggeration without proof",NEGATIVE,toxic,False Dilemma,fallacy of relevance,0.7643923163414001,fallacy of relevance,Medium (transformer preferred)
